antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({17794}),frozenset({24852}),0.02368279588273083,0.1538668669754,0.005021067907330512,0.21201330840299162,1.377900990450972,1.0,0.0013770703036368164,1.0737911465354149,0.28091121333029134,0.029102815731863813,0.06872020389952169,0.12232292815322732
frozenset({28985}),frozenset({24852}),0.021961352005806088,0.1538668669754,0.005026603096645382,0.22888404572343546,1.487546020937887,1.0,0.0016474786689680827,1.0972839147368103,0.3351113899442797,0.029429482096016587,0.0886588360863236,0.1307762837570443
frozenset({24852}),frozenset({21903}),0.1538668669754,0.07876932554369397,0.016734179696339516,0.10875752541978352,1.38070911067348,1.0,0.004614190361165978,1.033647633199051,0.32587600070760864,0.07750821531283036,0.03255232452370092,0.16060145524175135
frozenset({21903}),frozenset({24852}),0.07876932554369397,0.1538668669754,0.016734179696339516,0.21244538506371918,1.38070911067348,1.0,0.004614190361165978,1.0743802613524887,0.29931100765721813,0.07750821531283036,0.06923085245335275,0.16060145524175135
frozenset({21137}),frozenset({21903}),0.08618061843693417,0.07876932554369397,0.012416406431369025,0.1440742321947386,1.8290652001941987,1.0,0.0056280172421532835,1.0762973952969046,0.49601993859763455,0.0814011569577561,0.0708887670176489,0.15085210115447473
frozenset({21903}),frozenset({21137}),0.07876932554369397,0.08618061843693417,0.012416406431369025,0.15762997011421084,1.8290652001941987,1.0,0.0056280172421532835,1.0848194369960718,0.49202946243594603,0.0814011569577561,0.07818760809719782,0.15085210115447473
frozenset({13176}),frozenset({21903}),0.12354868150162523,0.07876932554369397,0.016401091539332894,0.13275003294241666,1.685301124849408,1.0,0.0066692452256372145,1.062243539289911,0.4639552947173782,0.08821731736833165,0.05859629829475788,0.17048338242538347
frozenset({21903}),frozenset({13176}),0.07876932554369397,0.12354868150162523,0.016401091539332894,0.20821673190835027,1.685301124849408,1.0,0.0066692452256372145,1.106933366514288,0.4414032674490962,0.08821731736833165,0.09660325521762797,0.17048338242538347
frozenset({13176}),frozenset({47209}),0.12354868150162523,0.0695428161545477,0.02029819041637322,0.16429305573856898,2.362473434688842,1.0,0.011706267172568929,1.1133773510375198,0.658011237914719,0.11747092952045719,0.10183191793138884,0.22808676683849566
frozenset({47209}),frozenset({13176}),0.0695428161545477,0.12354868150162523,0.02029819041637322,0.29188047793842237,2.362473434688842,1.0,0.011706267172568929,1.2377166441432454,0.6198187590681172,0.11747092952045719,0.19206063461140116,0.22808676683849566
frozenset({47209}),frozenset({24852}),0.0695428161545477,0.1538668669754,0.010165863575816954,0.14618136189976777,0.9500509419168132,1.0,-0.0005344716665295363,0.9909986679457682,-0.05348261246486566,0.04767248868957914,-0.009083091981234102,0.1061252899454718
frozenset({47209}),frozenset({21903}),0.0695428161545477,0.07876932554369397,0.011363743663429232,0.16340643493894672,2.0744932600483406,1.0,0.005885902938526405,1.1011687310660536,0.5566667406714166,0.08297828836625425,0.0918739591961634,0.1538362691681684
frozenset({21903}),frozenset({47209}),0.07876932554369397,0.0695428161545477,0.011363743663429232,0.14426610339739007,2.0744932600483406,1.0,0.005885902938526405,1.0873207051158134,0.5622419902281702,0.08297828836625425,0.08030814156759072,0.1538362691681684
frozenset({47209}),frozenset({21137}),0.0695428161545477,0.08618061843693417,0.013282500759460534,0.19099745299273352,2.2162460244179254,1.0,0.007289257855415596,1.1295630464249427,0.5898031270785489,0.09324918337817419,0.11470191667035197,0.1725607214110383
frozenset({21137}),frozenset({47209}),0.08618061843693417,0.0695428161545477,0.013282500759460534,0.15412398982934303,2.2162460244179254,1.0,0.007289257855415596,1.0999924015550824,0.6005416034250247,0.09324918337817419,0.09090281115916898,0.1725607214110383
frozenset({13176}),frozenset({27966}),0.12354868150162523,0.04462567305460074,0.01318775134236481,0.10674133614441955,2.3919266385925115,1.0,0.0076743082753462834,1.0695382710554504,0.6639581286088201,0.08508962109562104,0.06501709470090125,0.2011303592955694
frozenset({27966}),frozenset({13176}),0.04462567305460074,0.12354868150162523,0.01318775134236481,0.29551938244671927,2.3919266385925115,1.0,0.0076743082753462834,1.2441099111319236,0.6091088705591432,0.08508962109562104,0.19621249613695793,0.2011303592955694
frozenset({47209}),frozenset({27966}),0.0695428161545477,0.04462567305460074,0.008398184588144472,0.12076279122031613,2.7061281758722058,1.0,0.0052947896111354194,1.0865945132956647,0.6775898607908819,0.07940021179136089,0.07969349397230215,0.15447728272281924
frozenset({27966}),frozenset({47209}),0.04462567305460074,0.0695428161545477,0.008398184588144472,0.18819177422532232,2.7061281758722058,1.0,0.0052947896111354194,1.146153924416758,0.6599176217027946,0.07940021179136089,0.1275168380993252,0.15447728272281924
frozenset({27966}),frozenset({24852}),0.04462567305460074,0.1538668669754,0.007453620811530386,0.1670253981919931,1.085518939036413,1.0,0.0005872083119504417,1.0157970377344423,0.0824615194027674,0.03901624256472312,0.015551372122205432,0.10773370573000457
frozenset({21137}),frozenset({27966}),0.08618061843693417,0.04462567305460074,0.011025771515850666,0.12793794841376288,2.866913587101023,1.0,0.007179903413840746,1.0955348019187638,0.7126056290262262,0.0920497883803554,0.0872038037965024,0.1875051671776892
frozenset({27966}),frozenset({21137}),0.04462567305460074,0.08618061843693417,0.011025771515850666,0.2470723859416155,2.866913587101023,1.0,0.007179903413840746,1.213688227793177,0.6816101467758217,0.0920497883803554,0.1760651729989354,0.1875051671776892
frozenset({27966}),frozenset({21903}),0.04462567305460074,0.07876932554369397,0.005875115058677891,0.13165325375573667,1.6713771870841723,1.0,0.0023599808902335932,1.0609018556708758,0.42045405314365125,0.04999251940798041,0.05740573960290006,0.1031197928287366
frozenset({21137}),frozenset({24852}),0.08618061843693417,0.1538668669754,0.01828435830387473,0.2121632292213705,1.378875344587934,1.0,0.005024016550981277,1.073995482831241,0.3006844529787789,0.08244994802464278,0.06889738738581651,0.16549777958269968
frozenset({24852}),frozenset({21137}),0.1538668669754,0.08618061843693417,0.01828435830387473,0.11883232994402887,1.378875344587934,1.0,0.005024016550981277,1.0370550493585637,0.3247376448721432,0.08244994802464278,0.035731034125414084,0.16549777958269968
frozenset({13176}),frozenset({21137}),0.12354868150162523,0.08618061843693417,0.02006603806452012,0.16241402029252866,1.8845771037414993,1.0,0.009418536285642248,1.0910156135638984,0.5355425532726288,0.10579823349155801,0.08342283321371353,0.19762551832397124
frozenset({21137}),frozenset({13176}),0.08618061843693417,0.12354868150162523,0.02006603806452012,0.23283701635541382,1.8845771037414991,1.0,0.009418536285642248,1.142457779094853,0.5136430528808917,0.10579823349155801,0.12469413023535915,0.19762551832397124
frozenset({24852}),frozenset({47766}),0.1538668669754,0.057570852865225626,0.01738537843926546,0.1129897474421508,1.962620698127606,1.0,0.008527131679791463,1.0624783021584194,0.5796690585892851,0.08959118098609864,0.05880430878587827,0.20748602266205893
frozenset({47766}),frozenset({24852}),0.057570852865225626,0.1538668669754,0.01738537843926546,0.30198229788196707,1.9626206981276062,1.0,0.008527131679791463,1.2121943762416518,0.5204393329225315,0.08959118098609864,0.17504979432386894,0.20748602266205893
frozenset({47766}),frozenset({21137}),0.057570852865225626,0.08618061843693417,0.007809175325167952,0.13564460028843708,1.5739571466141196,1.0,0.0028476836213010646,1.0572264393419757,0.38693485679509704,0.05744478029479251,0.054128838640843856,0.11312932779616446
frozenset({47766}),frozenset({21903}),0.057570852865225626,0.07876932554369397,0.010057438985119783,0.1746967169075022,2.2178267453946465,1.0,0.005522621733950719,1.1162328968380668,0.5826519198476579,0.07964223005463494,0.10412961055646879,0.1511894470735898
frozenset({21903}),frozenset({47766}),0.07876932554369397,0.057570852865225626,0.010057438985119783,0.12768217723967742,2.217826745394647,1.0,0.005522621733950719,1.0803736007050673,0.5960593444443663,0.07964223005463494,0.07439426569902699,0.1511894470735898
frozenset({47766}),frozenset({13176}),0.057570852865225626,0.12354868150162523,0.007453295212158923,0.1294629980488081,1.0478703331779793,1.0,0.00034049224773623297,1.0067938715228952,0.04847414926582635,0.042917352551867925,0.00674802629918552,0.09489489341101624
frozenset({4605}),frozenset({24852}),0.02382312921183137,0.1538668669754,0.006892287495128219,0.2893107548484973,1.8802667561610378,1.0,0.003226697241753596,1.1905810293276968,0.47958580450628424,0.04035351263144249,0.16007396777967736,0.16705229636661634
frozenset({26209}),frozenset({31717}),0.04578806281072355,0.022636970701591756,0.005719152959747126,0.12490489024156101,5.517738741994225,1.0,0.004682649923418134,1.1168649194808085,0.8580550145707238,0.0912060066671513,0.10463657461381715,0.18877572916657764
frozenset({31717}),frozenset({26209}),0.022636970701591756,0.04578806281072355,0.005719152959747126,0.2526465680915943,5.517738741994225,1.0,0.004682649923418134,1.2767880582987983,0.837730007299588,0.0912060066671513,0.21678465466507627,0.18877572916657764
frozenset({27845}),frozenset({24852}),0.04490178132160134,0.1538668669754,0.01030228971245994,0.22944055690511583,1.4911628566649013,1.0,0.0033933932988906056,1.0980763919084306,0.34486760755151474,0.05466381262860016,0.08931654721942987,0.14819821270498879
frozenset({27845}),frozenset({13176}),0.04490178132160134,0.12354868150162523,0.008622196955710997,0.19202349443457453,1.5542334576192829,1.0,0.003074641076352848,1.0847485198657236,0.3733605698227997,0.053946633963094404,0.0781273431709445,0.13090567263565595
frozenset({27845}),frozenset({21137}),0.04490178132160134,0.08618061843693417,0.007753497832647784,0.17267684275406983,2.003662144527687,1.0,0.003883834549432201,1.104549502282847,0.5244631944516218,0.06286845752755595,0.09465352351050595,0.1313224211050114
frozenset({27845}),frozenset({21903}),0.04490178132160134,0.07876932554369397,0.00551695575006862,0.12286719118233566,1.5598355112762805,1.0,0.001980072719655647,1.05027501559095,0.3757799503017988,0.04669286434708803,0.04786842954905673,0.09645329210366571
frozenset({45066}),frozenset({24852}),0.025972736262229918,0.1538668669754,0.009249626944520146,0.35612832052551746,2.314522466896364,1.0,0.005253283389072468,1.3141331728011394,0.583089873471542,0.054221397678298075,0.23904211483494409,0.20812140106561125
frozenset({44632}),frozenset({24852}),0.024708433902839194,0.1538668669754,0.005140888476028886,0.20806209313970958,1.352221548600026,1.0,0.0013390791635302644,1.068433681093978,0.2670752238738782,0.0296416864728477,0.064050471550006,0.12073668494764409
frozenset({42265}),frozenset({13176}),0.025037289268016797,0.12354868150162523,0.0051161429237976995,0.20434092800665832,1.6539304630618037,1.0,0.0020228188463594326,1.1015412874041977,0.4055331091030183,0.03566006177476494,0.09218109985099292,0.12287543171976084
frozenset({42265}),frozenset({24852}),0.025037289268016797,0.1538668669754,0.005455091869490655,0.21787869330004161,1.4160208600001956,1.0,0.0016026826122641047,1.0818438594835496,0.30134046261130465,0.031450684898077175,0.0756521921034152,0.1266660085907062
frozenset({47626}),frozenset({24852}),0.04970502324942312,0.1538668669754,0.01331050230540635,0.26778988189208486,1.7403999129643597,1.0,0.005662546105078198,1.1555878730699192,0.4476709079600747,0.06995903084152773,0.13463958621907873,0.17714825001463616
frozenset({47626}),frozenset({47766}),0.04970502324942312,0.057570852865225626,0.00795015985301142,0.15994680885907622,2.7782601941561382,1.0,0.005088599272856263,1.1218684210398724,0.673540875166042,0.08004130402714264,0.10862987027205143,0.14902014820127696
frozenset({47766}),frozenset({47626}),0.057570852865225626,0.04970502324942312,0.00795015985301142,0.13809348754347767,2.7782601941561387,1.0,0.005088599272856263,1.1025499436616835,0.6791624731179323,0.08004130402714264,0.09301160845476487,0.14902014820127696
frozenset({47626}),frozenset({21137}),0.04970502324942312,0.08618061843693417,0.00530889775170378,0.10680807300025547,1.239351433506087,1.0,0.0010252881086463038,1.0230940897916638,0.20322780468716792,0.0406572992382211,0.022572791712995335,0.0842050324084407
frozenset({47626}),frozenset({21903}),0.04970502324942312,0.07876932554369397,0.007426270464327495,0.14940684017110253,1.896764243439223,1.0,0.0035110393068368082,1.083045006665252,0.4975153626534426,0.06134975925975737,0.0766773367257854,0.12184277549496178
frozenset({47626}),frozenset({13176}),0.04970502324942312,0.12354868150162523,0.006318907001981924,0.1271281369344347,1.028972024543721,1.0,0.00017791691550806885,1.0041007799475152,0.0296289897287718,0.03785254534815682,0.004084032230041196,0.08913660766869316
frozenset({22935}),frozenset({21903}),0.03693143430755921,0.07876932554369397,0.006416586813420815,0.1737432334738067,2.2057219898046476,1.0,0.0035075226416531355,1.1149447868722562,0.5675958362022057,0.058714694315337865,0.1030946000426708,0.12760185512050792
frozenset({22935}),frozenset({13176}),0.03693143430755921,0.12354868150162523,0.008001278954331106,0.21665226667607074,1.7535781365114833,1.0,0.0034384489396682774,1.1188534557691066,0.4462168436921562,0.05247468513907692,0.10622790246235239,0.14070721121390833
frozenset({22935}),frozenset({21137}),0.03693143430755921,0.08618061843693417,0.005421555134229969,0.14680055719147286,1.7034057059929264,1.0,0.0022387812858415085,1.071050138704958,0.4287761115331279,0.04606620962878121,0.0663368932390663,0.10485488656073608
frozenset({22935}),frozenset({47209}),0.03693143430755921,0.0695428161545477,0.00648821867514267,0.17568282404387,2.526254094361713,1.0,0.003919902728768324,1.1287611261602186,0.6273250122721729,0.06489125089959391,0.11407296298219781,0.13449050558699605
frozenset({22935}),frozenset({24852}),0.03693143430755921,0.1538668669754,0.00543588150657434,0.1471884753054855,0.9565962978177607,1.0,-0.00024664258323759715,0.992168971130747,-0.04499324483240806,0.02932569348809758,-0.007892837910792847,0.09125847431859824
frozenset({4920}),frozenset({24852}),0.026923486426901802,0.1538668669754,0.008007790941760367,0.2974277110619309,1.9330198691150524,1.0,0.00386515843719828,1.204336046762564,0.496029589210455,0.04634605962386462,0.16966696904227846,0.17473567263549075
frozenset({49683}),frozenset({24852}),0.03168570283391925,0.1538668669754,0.010450763025847055,0.3298258233571392,2.1435792503000095,1.0,0.0055753832028783475,1.262557052351942,0.5509477045553105,0.05968392455693095,0.20795658450668836,0.19887331924155036
frozenset({49683}),frozenset({47766}),0.03168570283391925,0.057570852865225626,0.005069582213678495,0.15999588963674666,2.779112722392698,1.0,0.003245409277895667,1.1219339709269136,0.661121009563739,0.06021813118811882,0.10868194928278624,0.12402701475022301
